Matrix_Size,Block_Dim_X,Block_Dim_Y,Kernel_Type,Data_Type,Avg_Execution_Time_ms,Execution_Time_Stddev,Total_Energy_J,Avg_Power_W,Peak_Power_W,Baseline_Power_W,Initial_Temp_C,Peak_Temp_C,Final_Temp_C,GFLOPS,GFLOPS_per_Watt,Memory_Bandwidth_GBps,Threads_per_Block
1024,8,8,0,0,14.4284,0.0160539,3.63669,38.814,41.847,30.2654,61,61,61,148.837,3.83463,0.872094,64
1024,16,16,0,0,9.1993,0.00792574,0,44.285,44.285,30.5609,62,62,62,233.44,5.27131,1.36781,256
1024,32,32,0,0,6.74685,0.00288281,0,41.748,41.748,30.7672,62,63,63,318.294,7.62418,1.86501,1024
1024,16,32,0,0,9.00686,0.0206123,0,42.833,42.833,30.8265,63,63,63,238.427,5.56644,1.39704,512
1024,32,16,0,0,6.8847,0.0311104,0,37.434,41.428,30.9484,64,64,64,311.921,8.33256,1.82766,512
2048,8,8,0,0,72.3176,20.6743,41.0038,70.988,77.981,31.0793,65,66,66,237.561,3.3465,0.69598,64
2048,16,16,0,0,47.216,14.5914,24.6287,70.3683,72.748,34.2845,66,67,67,363.857,5.17075,1.06599,256
2048,32,32,0,0,32.9781,10.3629,15.9266,61.358,65.632,34.7838,66,68,68,520.948,8.49031,1.52622,1024
2048,16,32,0,0,41.5484,10.4708,20.7498,75.783,75.783,33.7939,67,69,69,413.49,5.45624,1.2114,512
2048,32,16,0,0,36.8136,8.80784,19.6447,68.291,68.291,35.2811,68,69,69,466.672,6.83358,1.3672,512
4096,8,8,0,0,634.585,15.4877,437.302,70.4823,72.41,34.9461,70,73,73,216.581,3.07284,0.317257,64
4096,16,16,0,0,355.42,5.08613,243.819,70.8353,77.443,35.9044,73,75,75,386.695,5.45907,0.566448,256
4096,32,32,0,0,254.333,3.71068,171.491,67.5392,72.65,36.5501,75,76,76,540.39,8.00114,0.791588,1024
4096,16,32,0,0,329.349,1.5714,223.752,65.3249,74.266,37.2063,76,78,78,417.305,6.38814,0.611286,512
4096,32,16,0,0,297.107,12.2932,203.996,69.2548,71.868,37.9299,78,79,79,462.59,6.67954,0.677623,512
